SITC1,SITC2,Region Group,Region,Flow Type,Year,Quarter,Value (£ 000's)
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,London,Exports (000's),2023,Q1,3504
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,London,Exports (000's),2023,Q2,3338
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,London,Exports (000's),2023,Q3,3719
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,London,Exports (000's),2023,Q4,4698
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South East,Exports (000's),2023,Q1,4760
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South East,Exports (000's),2023,Q2,5640
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South East,Exports (000's),2023,Q3,4074
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South East,Exports (000's),2023,Q4,4132
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South West,Exports (000's),2023,Q1,25641
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South West,Exports (000's),2023,Q2,26364
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South West,Exports (000's),2023,Q3,35508
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",England,South West,Exports (000's),2023,Q4,63928
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Wales,Wales,Exports (000's),2023,Q1,4097
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Wales,Wales,Exports (000's),2023,Q2,6406
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Wales,Wales,Exports (000's),2023,Q3,6534
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Wales,Wales,Exports (000's),2023,Q4,3263
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Scotland,Scotland,Exports (000's),2023,Q1,235760
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Scotland,Scotland,Exports (000's),2023,Q2,255140
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Scotland,Scotland,Exports (000's),2023,Q3,266868
0 - Food & live animals,"03 - Fish,crustaceans,molluscs & aq.inverts & preps thereof",Scotland,Scotland,Exports (000's),2023,Q4,274208
0 - Food & live animals,04 - Cereals & cereal preparations,England,North East,Exports (000's),2023,Q1,15733
0 - Food & live animals,04 - Cereals & cereal preparations,England,North East,Exports (000's),2023,Q2,15045
0 - Food & live animals,04 - Cereals & cereal preparations,England,North East,Exports (000's),2023,Q3,12920
0 - Food & live animals,04 - Cereals & cereal preparations,England,North East,Exports (000's),2023,Q4,12204
