industry,itl2,employment
021 : Silviculture and other forestry activities,J3HampshireandIsleofWight,531.25
021 : Silviculture and other forestry activities,M9SouthernScotland,712.5
021 : Silviculture and other forestry activities,M6HighlandsandIslands,818.75
021 : Silviculture and other forestry activities,M7EasternScotland,912.5
022 : Logging,I5OuterLondonEastandNor,4.375
022 : Logging,G3WestMidlands,5.625
022 : Logging,D6Cheshire,5.625
022 : Logging,D7Merseyside,6.25
022 : Logging,I7OuterLondonWestandNor,6.875
022 : Logging,I6OuterLondonSouth,7.5
022 : Logging,I4InnerLondonEast,7.5
022 : Logging,D4Lancashire,8.125
022 : Logging,K3CornwallandIslesofScill,9.375
022 : Logging,C1TeesValleyandDurham,10
022 : Logging,E1EastYorkshireandNorthern,10.625
022 : Logging,H3Essex,14.375
022 : Logging,E2NorthYorkshire,17.5
022 : Logging,C2NorthumberlandandTyneand,18.75
022 : Logging,E3SouthYorkshire,19.375
022 : Logging,E4WestYorkshire,20
022 : Logging,K2DorsetandSomerset,21.25
022 : Logging,J1BerkshireBuckinghamshire,21.875
022 : Logging,M8WestCentralScotland,21.875
022 : Logging,D3GreaterManchester,22.5
022 : Logging,F3Lincolnshire,22.5
022 : Logging,G2ShropshireandStaffordshir,24.375
022 : Logging,D1Cumbria,25
022 : Logging,J4Kent,34.375
022 : Logging,G1HerefordshireWorcestershi,35
022 : Logging,F2LeicestershireRutlandand,38.125
022 : Logging,M6HighlandsandIslands,39.375
022 : Logging,J3HampshireandIsleofWight,42.5
022 : Logging,F1DerbyshireandNottinghamsh,44.375
022 : Logging,M7EasternScotland,47.5
022 : Logging,K4Devon,48.125
022 : Logging,H1EastAnglia,50.625
022 : Logging,M5NorthEasternScotland,60
022 : Logging,K1GloucestershireWiltshire,64.375
022 : Logging,L2EastWales,71.875
022 : Logging,I3InnerLondonWest,87.5
022 : Logging,J2SurreyEastandWestSusse,88.125
022 : Logging,H2BedfordshireandHertfordsh,106.25
022 : Logging,M9SouthernScotland,115.625
022 : Logging,L1WestWales,118.75
023 : Gathering of wild growing non-wood products,L1WestWales,0
023 : Gathering of wild growing non-wood products,K3CornwallandIslesofScill,0
023 : Gathering of wild growing non-wood products,D7Merseyside,0
023 : Gathering of wild growing non-wood products,H2BedfordshireandHertfordsh,0
023 : Gathering of wild growing non-wood products,F1DerbyshireandNottinghamsh,0
023 : Gathering of wild growing non-wood products,J2SurreyEastandWestSusse,0
023 : Gathering of wild growing non-wood products,M7EasternScotland,0
023 : Gathering of wild growing non-wood products,I5OuterLondonEastandNor,0
023 : Gathering of wild growing non-wood products,K2DorsetandSomerset,0
023 : Gathering of wild growing non-wood products,H1EastAnglia,0
023 : Gathering of wild growing non-wood products,I6OuterLondonSouth,0
023 : Gathering of wild growing non-wood products,I4InnerLondonEast,0
023 : Gathering of wild growing non-wood products,E4WestYorkshire,0
023 : Gathering of wild growing non-wood products,K1GloucestershireWiltshire,0
023 : Gathering of wild growing non-wood products,J3HampshireandIsleofWight,0
023 : Gathering of wild growing non-wood products,M6HighlandsandIslands,0
023 : Gathering of wild growing non-wood products,M9SouthernScotland,0
023 : Gathering of wild growing non-wood products,F2LeicestershireRutlandand,0
023 : Gathering of wild growing non-wood products,D6Cheshire,0
023 : Gathering of wild growing non-wood products,L2EastWales,0
023 : Gathering of wild growing non-wood products,D3GreaterManchester,0
023 : Gathering of wild growing non-wood products,I7OuterLondonWestandNor,0
023 : Gathering of wild growing non-wood products,F3Lincolnshire,0
023 : Gathering of wild growing non-wood products,G2ShropshireandStaffordshir,0
023 : Gathering of wild growing non-wood products,M8WestCentralScotland,0
023 : Gathering of wild growing non-wood products,E1EastYorkshireandNorthern,0
023 : Gathering of wild growing non-wood products,K4Devon,0
023 : Gathering of wild growing non-wood products,C2NorthumberlandandTyneand,0
023 : Gathering of wild growing non-wood products,I3InnerLondonWest,0
023 : Gathering of wild growing non-wood products,D1Cumbria,0
023 : Gathering of wild growing non-wood products,E3SouthYorkshire,0
023 : Gathering of wild growing non-wood products,E2NorthYorkshire,0
023 : Gathering of wild growing non-wood products,J4Kent,0
023 : Gathering of wild growing non-wood products,G1HerefordshireWorcestershi,0
023 : Gathering of wild growing non-wood products,M5NorthEasternScotland,0
023 : Gathering of wild growing non-wood products,D4Lancashire,0
023 : Gathering of wild growing non-wood products,G3WestMidlands,1.25
023 : Gathering of wild growing non-wood products,J1BerkshireBuckinghamshire,1.25
023 : Gathering of wild growing non-wood products,H3Essex,1.25
023 : Gathering of wild growing non-wood products,C1TeesValleyandDurham,1.25
024 : Support services to forestry,D7Merseyside,6.25
024 : Support services to forestry,C1TeesValleyandDurham,17.5
024 : Support services to forestry,I6OuterLondonSouth,19.375
024 : Support services to forestry,M8WestCentralScotland,22.5
024 : Support services to forestry,D6Cheshire,24.375
024 : Support services to forestry,I4InnerLondonEast,30
024 : Support services to forestry,E1EastYorkshireandNorthern,30.625
024 : Support services to forestry,K2DorsetandSomerset,39.375
024 : Support services to forestry,I3InnerLondonWest,43.75
024 : Support services to forestry,I7OuterLondonWestandNor,45
024 : Support services to forestry,D4Lancashire,46.25
024 : Support services to forestry,I5OuterLondonEastandNor,46.875
024 : Support services to forestry,K4Devon,47.5
024 : Support services to forestry,E3SouthYorkshire,48.75
024 : Support services to forestry,M5NorthEasternScotland,50
024 : Support services to forestry,D1Cumbria,52.5
024 : Support services to forestry,E2NorthYorkshire,55.625
024 : Support services to forestry,D3GreaterManchester,58.75
024 : Support services to forestry,C2NorthumberlandandTyneand,65
024 : Support services to forestry,J4Kent,72.5
024 : Support services to forestry,F3Lincolnshire,75
024 : Support services to forestry,G1HerefordshireWorcestershi,75
024 : Support services to forestry,F2LeicestershireRutlandand,75.625
024 : Support services to forestry,H3Essex,78.75
024 : Support services to forestry,G2ShropshireandStaffordshir,81.875
024 : Support services to forestry,K3CornwallandIslesofScill,87.5
024 : Support services to forestry,H1EastAnglia,89.375
024 : Support services to forestry,K1GloucestershireWiltshire,93.75
024 : Support services to forestry,E4WestYorkshire,94.375
024 : Support services to forestry,H2BedfordshireandHertfordsh,112.5
024 : Support services to forestry,G3WestMidlands,115.625
024 : Support services to forestry,L2EastWales,116.25
024 : Support services to forestry,F1DerbyshireandNottinghamsh,117.5
024 : Support services to forestry,M7EasternScotland,128.125
024 : Support services to forestry,L1WestWales,134.375
024 : Support services to forestry,M6HighlandsandIslands,134.375
024 : Support services to forestry,M9SouthernScotland,153.125
024 : Support services to forestry,J1BerkshireBuckinghamshire,206.25
024 : Support services to forestry,J3HampshireandIsleofWight,212.5
024 : Support services to forestry,J2SurreyEastandWestSusse,278.125
031 : Fishing,D6Cheshire,.625
031 : Fishing,I6OuterLondonSouth,3.125
031 : Fishing,G3WestMidlands,3.75
031 : Fishing,E3SouthYorkshire,6.25
031 : Fishing,G1HerefordshireWorcestershi,9.375
031 : Fishing,I7OuterLondonWestandNor,10
031 : Fishing,K1GloucestershireWiltshire,10
031 : Fishing,H2BedfordshireandHertfordsh,11.25
